customer_id,name,gender,dob,join_date,region,income,credit_score
1,Jack Brown,Male,1997-06-11 22:14:49,2024-03-29 19:26:06,West,150858,741
2,Bob Wilson,Female,1973-04-28 15:13:17,2020-11-22 00:13:46,West,125510,624
3,Charlie Smith,Male,1990-12-06 18:03:10,2024-12-17 22:30:13,West,74748,815
4,Diana Jones,Male,1972-01-16 23:39:51,2017-07-23 02:05:19,West,25801,315
5,Diana Garcia,Male,1969-08-02 18:56:13,2022-11-28 06:23:19,East,170262,635
6,Grace Wilson,Female,1986-09-03 08:39:50,2018-12-04 10:53:39,East,49592,557
7,Ivy Brown,Male,1962-11-01 16:14:51,2023-10-31 19:27:57,North,30647,796
8,Grace Garcia,Male,1966-02-26 06:15:20,2015-07-14 15:16:09,West,159788,459
9,Diana Taylor,Male,1993-08-29 08:23:08,2015-03-30 14:21:49,North,130627,774
10,Frank Wilson,Female,1996-12-05 20:00:17,2024-09-14 13:18:30,West,90316,679
11,Bob Davis,Male,1965-05-27 02:33:18,2021-12-04 04:11:28,West,22368,844
12,Alice Brown,Male,1971-10-22 10:10:31,2018-02-21 15:46:44,East,97575,726
13,Ivy Smith,Male,1998-03-27 07:55:39,2019-09-28 22:19:28,East,26655,567
14,Ivy Brown,Male,1974-07-26 16:50:03,2020-01-08 15:50:40,South,90031,716
15,Hank Davis,Female,1965-10-23 10:24:59,2017-04-14 04:31:54,East,107922,467
16,Bob Miller,Male,1997-07-24 23:51:08,2015-05-14 04:11:45,South,144046,342
17,Hank Davis,Female,1979-03-07 09:08:56,2019-11-27 09:50:19,South,164475,584
18,Diana Garcia,Female,2000-04-27 20:03:40,2022-01-03 00:32:53,South,52097,696
19,Alice Taylor,Female,1982-06-29 11:08:28,2019-07-01 23:03:50,South,162038,311
20,Alice Miller,Male,1970-02-22 22:22:56,2018-11-25 00:33:40,South,144862,601
21,Ivy Williams,Female,1962-02-16 06:57:28,2019-07-12 15:44:32,North,138834,552
22,Frank Jones,Male,1997-01-19 08:39:51,2016-04-09 20:35:12,East,113848,798
23,Bob Williams,Female,1987-01-17 05:02:35,2022-08-01 03:11:57,South,72921,334
24,Ivy Johnson,Female,1999-12-11 09:01:59,2017-09-15 23:30:09,West,146141,389
25,Grace Johnson,Female,1960-10-01 12:08:55,2019-03-18 18:23:48,East,42677,717
26,Charlie Brown,Female,1961-11-30 21:53:02,2024-11-27 01:41:45,East,75609,414
